Country,Most Recent Year,Most Recent Value
South Sudan,2023,-2
Spain,2023,0
Sri Lanka,2023,-1
St. Kitts and Nevis,2023,1
St. Lucia,2023,1
St. Martin (French part),,
St. Vincent and the Grenadines,2023,1
Sudan,2023,-2
Suriname,2023,0
Sweden,2023,1
Switzerland,2023,1
Syrian Arab Republic,2023,-3
Tajikistan,2023,-0
Tanzania,2023,-0
Thailand,2023,-0
Timor-Leste,2023,0
Togo,2023,-1
Tonga,2023,1
Trinidad and Tobago,2023,0
Tunisia,2023,-1
Turkiye,2023,-1
Turkmenistan,2023,-0
Turks and Caicos Islands,,
Tuvalu,2023,1
Uganda,2023,-1
Ukraine,2023,-1
United Arab Emirates,2023,1
United Kingdom,2023,1
United States,2023,0
Uruguay,2023,1
Uzbekistan,2023,-0
Vanuatu,2023,1
Venezuela RB,2023,-1
Viet Nam,2023,-0
Virgin Islands (U.S.),2023,1
West Bank and Gaza,2023,-2
Yemen Rep.,2023,-3
Zambia,2023,0
Zimbabwe,2023,-1
World,,
Arab World,,
Caribbean small states,,
Central Europe and the Baltics,,
East Asia & Pacific,,
East Asia & Pacific (excluding high income),,
Euro area,,
Europe & Central Asia,,
Europe & Central Asia (excluding high income),,
European Union,,
Fragile and conflict affected situations,,
Heavily indebted poor countries (HIPC),,
Latin America & Caribbean,,
Latin America & Caribbean (excluding high income),,
Least developed countries: UN classification,,
Middle East & North Africa,,
Middle East & North Africa (excluding high income),,
North America,,
OECD members,,
Other small states,,
Pacific island small states,,
Small states,,
South Asia,,
Sub-Saharan Africa,,
Sub-Saharan Africa (excluding high income),,
High income,,
Low & middle income,,
Low income,,
Lower middle income,,
Middle income,,
Upper middle income,,
