Country,Most Recent Year,Most Recent Value
Malta,2020,31.4
Marshall Islands,2019,35.5
Mauritania,2019,32.0
Mauritius,2017,36.8
Mexico,2022,43.5
"Micronesia, Fed. Sts.",2013,40.1
Moldova,2021,25.7
Monaco,,
Mongolia,2022,31.4
Montenegro,2021,34.3
Morocco,2013,39.5
Mozambique,2019,50.3
Myanmar,2017,30.7
Namibia,2015,59.1
Nauru,2012,32.4
Nepal,2022,30.0
Netherlands,2021,25.7
New Caledonia,,
New Zealand,,
Nicaragua,2014,46.2
Niger,2021,32.9
Nigeria,2018,35.1
North Macedonia,2019,33.5
Northern Mariana Islands,,
Norway,2019,27.7
Oman,,
Pakistan,2018,29.6
Palau,,
Panama,2023,48.9
Papua New Guinea,2009,41.9
Paraguay,2022,45.1
Peru,2022,40.3
Philippines,2021,40.7
Poland,2021,28.5
Portugal,2021,34.6
Puerto Rico,,
Qatar,2017,35.1
Romania,2021,33.9
Russian Federation,2021,35.1
Rwanda,2016,43.7
Samoa,2013,38.7
San Marino,,
Sao Tome and Principe,2017,40.7
Saudi Arabia,,
Senegal,2021,36.2
Serbia,2021,33.1
Seychelles,2018,32.1
Sierra Leone,2018,35.7
Singapore,,
Sint Maarten (Dutch part),,
Slovak Republic,2021,24.1
Slovenia,2021,24.3
Solomon Islands,2012,37.1
Somalia,,
South Africa,2014,63.0
South Sudan,2016,44.1
Spain,2021,33.9
Sri Lanka,2019,37.7
St. Kitts and Nevis,,
St. Lucia,2015,43.7
St. Martin (French part),,
St. Vincent and the Grenadines,,
Sudan,2014,34.2
Suriname,2022,39.2
Sweden,2021,29.8
Switzerland,2020,33.7
Syrian Arab Republic,2022,26.6
Tajikistan,2015,34.0
Tanzania,2018,40.5
Thailand,2021,34.9
Timor-Leste,2014,28.7
Togo,2021,37.9
Tonga,2021,27.1
Trinidad and Tobago,1992,40.2
Tunisia,2021,33.7
Turkiye,2021,44.4
Turkmenistan,1998,40.8
Turks and Caicos Islands,,
Tuvalu,2010,39.1
Uganda,2019,42.7
Ukraine,2020,25.6
United Arab Emirates,2018,26.4
United Kingdom,2021,32.4
United States,2022,41.3
Uruguay,2022,40.6
Uzbekistan,2022,31.2
Vanuatu,2019,32.3
"Venezuela, RB",2006,44.7
Viet Nam,2022,36.1
Virgin Islands (U.S.),,
West Bank and Gaza,2016,33.7
"Yemen, Rep.",2014,36.7
Zambia,2022,51.5
Zimbabwe,2019,50.3
World,,
Arab World,,
Caribbean small states,,
Central Europe and the Baltics,,
East Asia & Pacific,,
East Asia & Pacific (excluding high income),,
Euro area,,
Europe & Central Asia,,
Europe & Central Asia (excluding high income),,
European Union,,
Fragile and conflict affected situations,,
Heavily indebted poor countries (HIPC),,
Latin America & Caribbean,,
Latin America & Caribbean (excluding high income),,
Least developed countries: UN classification,,
Middle East & North Africa,,
Middle East & North Africa (excluding high income),,
North America,,
OECD members,,
Other small states,,
Pacific island small states,,
Small states,,
South Asia,,
Sub-Saharan Africa,,
Sub-Saharan Africa (excluding high income),,
High income,,
Low & middle income,,
Low income,,
Lower middle income,,
Middle income,,
Upper middle income,,
